run_idx,scenario_name,pv_penetration,ambient_delta_c,load_growth_pct,peak_theta_hs_c,mean_theta_hs_c,lol_percent_annual,lol_hours_annual,hours_above_110c,hours_above_120c,reverse_flow_hours,peak_net_load_pu,mean_f_aa,battery_lifetime_fraction,dispatch_method
7,pv75_battery5mwh_today,0.75,0.0,0.0,85.41297912597656,53.01959802084749,0.02745002225193674,49.410040053486135,0.0,0.0,642.0,0.9047494665388187,0.005640415531219878,0.038807200537784366,pypsa_lp
8,pv75_battery5mwh_today,0.75,0.0,0.0,85.49837493896484,52.96725153112994,0.027632470521991474,49.738446939584655,0.0,0.0,657.0,0.9080962965952002,0.005677904901779069,0.03860070932987984,pypsa_lp
9,pv75_battery5mwh_today,0.75,0.0,0.0,85.74381256103516,53.075840415330134,0.027600233369663572,49.68042006539443,0.0,0.0,643.0,0.914434318119135,0.005671280829382926,0.03714496866096893,pypsa_lp
10,pv75_battery5mwh_today,0.75,0.0,0.0,85.7463607788086,53.069016515470636,0.027929760269982392,50.273568485968305,0.0,0.0,629.0,0.9164575082829041,0.005738991836297752,0.03756030482469842,pypsa_lp
11,pv75_battery5mwh_today,0.75,0.0,0.0,86.38888549804688,52.95292814576845,0.027847735181527913,50.12592332675024,0.0,0.0,646.0,0.9119838079668358,0.005722137366067379,0.03732537404984493,pypsa_lp
12,pv75_battery5mwh_today,0.75,0.0,0.0,85.38623809814453,52.87585388786106,0.02739911178560854,49.318401214095374,0.0,0.0,670.0,0.9022987076551321,0.0056299544764949055,0.03997300109299925,pypsa_lp
13,pv75_battery5mwh_today,0.75,0.0,0.0,85.36973571777344,53.010879831036576,0.02763784440737974,49.74811993328353,0.0,0.0,630.0,0.9043701737155717,0.0056790091248040565,0.03758900325993019,pypsa_lp
14,pv75_battery5mwh_today,0.75,0.0,0.0,85.68448638916016,53.01288121401923,0.027465910042167967,49.43863807590234,0.0,0.0,626.0,0.9130871593852494,0.005643680145650952,0.037531254870961935,pypsa_lp
15,pv75_battery5mwh_today,0.75,0.0,0.0,86.39348602294922,52.91394903400642,0.02767199136963661,49.8095844653459,0.0,0.0,678.0,0.9108360280478482,0.005686025623897934,0.03965929476947102,pypsa_lp
16,pv75_battery5mwh_today,0.75,0.0,0.0,85.41260528564453,52.96561435617359,0.028002668986134318,50.404804175041775,0.0,0.0,671.0,0.9210619661272151,0.005753973079342669,0.03963033657494627,pypsa_lp
17,pv75_battery5mwh_today,0.75,0.0,0.0,85.62326049804688,53.032762797758984,0.027893786960089113,50.208816528160405,0.0,0.0,667.0,0.9146487718492348,0.005731600060292283,0.039855256772038335,pypsa_lp
18,pv75_battery5mwh_today,0.75,0.0,0.0,85.95651245117188,52.921245292916566,0.027602447911739856,49.68440624113174,0.0,0.0,647.0,0.9013704941573268,0.005671735872275313,0.0383442926241245,pypsa_lp
19,pv75_battery5mwh_today,0.75,0.0,0.0,85.72967529296875,53.05531483026508,0.027744846168154022,49.94072310267724,0.0,0.0,644.0,0.922427702742273,0.005700995787976853,0.03839928218597729,pypsa_lp
20,pv75_battery5mwh_today,0.75,0.0,0.0,85.03370666503906,52.91310079848729,0.027482015412164374,49.46762774189587,0.0,0.0,658.0,0.9070850950730477,0.005646989468252953,0.03868083269829166,pypsa_lp
21,pv75_battery5mwh_today,0.75,0.0,0.0,85.2671127319336,52.892247479858455,0.027735635053757035,49.92414309676266,0.0,0.0,672.0,0.907812921919641,0.005699103093237747,0.03969107701317011,pypsa_lp
22,pv75_battery5mwh_today,0.75,0.0,0.0,85.19063568115234,52.88598040198565,0.027304903987217632,49.148827176991745,0.0,0.0,661.0,0.9099092964238916,0.005610596709702253,0.039253321279562846,pypsa_lp
23,pv75_battery5mwh_today,0.75,0.0,0.0,84.98033905029297,53.102682419774744,0.02798475341549587,50.37255614789257,0.0,0.0,625.0,0.9204340650624946,0.005750291797704631,0.038045138146129864,pypsa_lp
24,pv75_battery5mwh_today,0.75,0.0,0.0,84.87255096435547,53.04313243024121,0.02745039541702587,49.41071175064656,0.0,0.0,633.0,0.9109125721979099,0.005640492208977919,0.037258570735968756,pypsa_lp
25,pv75_battery5mwh_today,0.75,0.0,0.0,85.14801025390625,53.06552037690474,0.027728764439480105,49.91177599106419,0.0,0.0,637.0,0.9094113043895885,0.005697691323180844,0.037540480620337255,pypsa_lp
26,pv75_battery5mwh_today,0.75,0.0,0.0,85.37684631347656,53.03011346883441,0.027659546878485965,49.787184381274734,0.0,0.0,627.0,0.9178940326661235,0.005683468536675199,0.03847030629690234,pypsa_lp
27,pv75_battery5mwh_today,0.75,0.0,0.0,85.90391540527344,52.900649639093686,0.027148227245570786,48.86680904202742,0.0,0.0,667.0,0.9230171529585007,0.005578402858678929,0.03941392627785109,pypsa_lp
28,pv75_battery5mwh_today,0.75,0.0,0.0,85.57996368408203,53.02187969356501,0.027814570647331272,50.06622716519629,0.0,0.0,624.0,0.922930013900596,0.005715322735753002,0.03726229608235025,pypsa_lp
29,pv75_battery5mwh_today,0.75,0.0,0.0,85.32256317138672,52.93619646272679,0.027418413578325602,49.353144440986085,0.0,0.0,678.0,0.9124084332272242,0.005633920598286083,0.03956973940964513,pypsa_lp
30,pv75_battery5mwh_today,0.75,0.0,0.0,85.19157409667969,53.06613631583485,0.027841874120206955,50.11537341637252,0.0,0.0,587.0,0.9148053711200016,0.00572093303839869,0.035625404833306284,pypsa_lp
31,pv75_battery5mwh_today,0.75,0.0,0.0,85.6285171508789,53.1055590573599,0.02777175462841422,49.989158331145596,0.0,0.0,635.0,0.9179187177161283,0.0057065249236467564,0.037071782870931345,pypsa_lp
32,pv75_battery5mwh_today,0.75,0.0,0.0,85.58788299560547,53.06043459289533,0.02771492515647734,49.886865281659205,0.0,0.0,631.0,0.9047695870699041,0.005694847634892604,0.03789971393214579,pypsa_lp
33,pv75_battery5mwh_today,0.75,0.0,0.0,85.35392761230469,53.007421978936755,0.027632592901277075,49.73866722229874,0.0,0.0,640.0,0.9063997894740127,0.005677930048207618,0.03822551087904598,pypsa_lp
34,pv75_battery5mwh_today,0.75,0.0,0.0,85.14584350585938,52.94818398431679,0.027533466765719793,49.56024017829563,0.0,0.0,657.0,0.9210137642794801,0.005657561664188999,0.039237131606845665,pypsa_lp
35,pv75_battery5mwh_today,0.75,0.0,0.0,84.96548461914062,52.98411903032592,0.027366947808768347,49.260506055783026,0.0,0.0,601.0,0.8916287400351712,0.00562334544015788,0.03681114534025444,pypsa_lp
36,pv75_battery5mwh_today,0.75,0.0,0.0,85.02494812011719,52.92017815458463,0.02765245138596333,49.774412494733994,0.0,0.0,672.0,0.9067175437217814,0.005682010558759588,0.04012205201114975,pypsa_lp
37,pv75_battery5mwh_today,0.75,0.0,0.0,85.23942565917969,52.842524973024744,0.027248800077145113,49.047840138861204,0.0,0.0,674.0,0.9028669472326152,0.0055990685090024205,0.03971015986692888,pypsa_lp
38,pv75_battery5mwh_today,0.75,0.0,0.0,85.80877685546875,53.016607997005906,0.02757012674541878,49.626228141753806,0.0,0.0,612.0,0.907018091890793,0.005665094536729887,0.03685235844457267,pypsa_lp
39,pv75_battery5mwh_today,0.75,0.0,0.0,85.67523956298828,52.997943841756566,0.027438410880943176,49.38913958569771,0.0,0.0,624.0,0.9341592031678999,0.005638029633070515,0.03718800431241808,pypsa_lp
40,pv75_battery5mwh_today,0.75,0.0,0.0,85.18162536621094,53.03172191438214,0.027664820754488277,49.796677358078895,0.0,0.0,626.0,0.905451932296808,0.0056845522098263575,0.03773037490749436,pypsa_lp
41,pv75_battery5mwh_today,0.75,0.0,0.0,84.90306854248047,52.96352104066037,0.027495288591633842,49.491519464940914,0.0,0.0,632.0,0.9237094638226916,0.005649716833897364,0.036675534464226764,pypsa_lp
42,pv75_battery5mwh_today,0.75,0.0,0.0,85.64385986328125,52.991220230767084,0.027764259898083687,49.97566781655063,0.0,0.0,651.0,0.9082789518475356,0.005704984910565141,0.03911708332580941,pypsa_lp
43,pv75_battery5mwh_today,0.75,0.0,0.0,85.23774719238281,53.03466959356989,0.027873901878486294,50.17302338127533,0.0,0.0,618.0,0.9067651311840479,0.005727514084620472,0.03767654359951989,pypsa_lp
44,pv75_battery5mwh_today,0.75,0.0,0.0,85.65724182128906,53.102780299224726,0.02787798987833289,50.1803817809992,0.0,0.0,626.0,0.9129135104822141,0.005728354084588949,0.03717460157521037,pypsa_lp
45,pv75_battery5mwh_today,0.75,0.0,0.0,85.31952667236328,53.04703135672372,0.028082216814066245,50.547990265319235,0.0,0.0,590.0,0.9115162481686709,0.005770318523438269,0.03574626648399524,pypsa_lp
46,pv75_battery5mwh_today,0.75,0.0,0.0,85.17578887939453,52.973680317790404,0.0276577472379339,49.78394502828102,0.0,0.0,649.0,0.9147748162165775,0.0056830987475206644,0.03836858622830069,pypsa_lp
47,pv75_battery5mwh_today,0.75,0.0,0.0,85.04621887207031,52.988507842542006,0.02731844358596092,49.17319845472966,0.0,0.0,619.0,0.9035853461726755,0.005613378819033065,0.03721902417668929,pypsa_lp
48,pv75_battery5mwh_today,0.75,0.0,0.0,84.99433898925781,53.01942601109362,0.027337915673897633,49.208248213015736,0.0,0.0,605.0,0.9172111236024312,0.005617379932992664,0.036694561147481534,pypsa_lp
49,pv75_battery5mwh_today,0.75,0.0,0.0,85.3630599975586,52.85117777034511,0.027508964115137386,49.5161354072473,0.0,0.0,663.0,0.9014251034878489,0.0056525268729734355,0.04025165565419726,pypsa_lp
